fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,author_date_unix_timestamp,project_no,repository_name,days_to_first_fix
False,4,13,58,5.310766856,7849,0,0.0,1,0.0,0,28.5,0.0,3,False,1302724246,6,fabric8,
True,1,1,1,0.0,6,8,39.0,1,0.002511574,1,58.0,399.156682,4,False,1302724463,6,fabric8,
False,2,18,42,4.538675957,1710,0,9.761904762,2,0.013799052,1,20.5,0.06489158,40,False,1302774320,6,fabric8,
False,1,1,1,0.0,1,0,451.0,2,0.019837963,2,42.0,51.4084014,1,False,1302776034,6,fabric8,
False,2,2,2,0.503258335,9,0,318.5,2,0.014155093,4,43.5,39.43071891,2,False,1302776400,6,fabric8,
True,1,1,1,0.0,10,11,37.0,1,0.608402778,2,45.0,2.643647985,3,False,1302777029,6,fabric8,
False,6,12,30,4.235121571,1764,6,25.2,2,0.062059414,10,73.5,2.408336242,6,True,1302777405,6,fabric8,11.8813
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1302777535,6,fabric8,
False,1,1,1,0.0,2,4,28.0,2,0.037766204,1,46.0,27.47870058,42,False,1302777583,6,fabric8,
False,2,2,2,0.92909503,79,40,41.5,2,0.02291088,4,89.5,11.41184643,7,False,1302781364,6,fabric8,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1302781432,6,fabric8,
False,2,3,3,0.970623179,53,2,217.6666667,2,0.081392747,7,48.0,7.577320994,4,False,1302787451,6,fabric8,
False,1,5,18,3.763231526,521,64,22.5,2,0.063744213,9,99.5,3.529710568,39,True,1302788420,6,fabric8,11.7538
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1302788429,6,fabric8,
False,3,3,3,0.636924193,47,36,256.3333333,2,0.346516204,3,110.0,2.111385698,1,False,1302790944,6,fabric8,
True,1,1,1,0.0,2,2,18.0,2,0.214803241,1,112.0,5.655423245,2,False,1302792879,6,fabric8,
False,1,2,3,1.409516441,326,0,0.0,1,0.0,0,51.0,0.0,2,True,1302797071,6,fabric8,229.1531
False,3,8,16,3.563467403,808,39,41.3125,2,0.013974248,9,60.5,0.963596128,5,False,1302797110,6,fabric8,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1302797206,6,fabric8,
False,9,16,21,3.054016073,314,180,99.71428571,2,0.199345789,32,123.0,1.700385814,8,True,1302809223,6,fabric8,819.0488
False,1,1,1,0.0,3,0,189.0,2,0.189606481,1,0.0,0.0,0,False,1302813492,6,fabric8,
False,1,3,8,2.466945372,16,11,45.125,2,0.199583333,8,4.5,2.702206979,8,False,1302814354,6,fabric8,
False,1,1,2,0.89049164,21,5,53.5,2,0.681487269,4,134.5,2.088673343,5,False,1302850792,6,fabric8,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1302850801,6,fabric8,
False,1,1,1,0.0,76,7,34.0,2,0.051967593,3,69.0,20.24276169,46,False,1302855282,6,fabric8,
False,5,6,7,1.931244982,73,8,157.1428571,2,0.387425595,25,139.0,1.778398397,9,False,1302855952,6,fabric8,
False,1,2,2,0.721928095,3,2,67.0,2,0.50244213,6,70.5,18.14496858,48,False,1302858547,6,fabric8,
False,1,1,1,0.0,8,0,42.0,2,0.977638889,1,72.0,2.022872567,49,False,1302858788,6,fabric8,
True,1,2,2,0.117594666,56,70,159.5,2,0.022164352,8,73.5,25.2406695,51,False,1302859285,6,fabric8,
False,1,1,1,0.0,35,10,107.0,2,0.051782407,6,75.0,20.31157801,52,False,1302863021,6,fabric8,
True,1,1,1,0.0,46,0,189.0,2,1.031099537,1,76.0,1.969838473,53,False,1302863407,6,fabric8,
True,1,1,1,0.0,13,0,255.0,2,0.053506944,7,77.0,19.68916288,54,False,1302863908,6,fabric8,
True,1,1,1,0.0,1,1,26.0,2,1.000115741,2,78.0,1.999884273,55,False,1302863993,6,fabric8,
False,1,2,3,1.435520504,4,5,58.0,2,0.796682099,5,80.0,1.699287375,58,False,1302871475,6,fabric8,
False,1,2,3,0.0,1,1,18.33333333,3,0.792399691,2,1.0,1.087329795,2,False,1302877015,6,fabric8,
False,1,1,1,0.0,1,4,28.0,2,0.224675926,2,82.0,5.450855141,59,False,1302877959,6,fabric8,
False,2,2,2,0.41381685,75,9,241.0,3,0.129982639,9,3.5,4.846667557,0,False,1302878413,6,fabric8,
False,1,3,5,1.583491824,389,0,0.0,1,0.0,0,7.0,0.0,4,False,1302879600,6,fabric8,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1302879616,6,fabric8,
False,3,8,8,2.70553045,752,5,67.625,3,0.022999132,10,13.5,0.804373467,1,False,1302894310,6,fabric8,
False,1,4,4,1.645178629,60,111,132.25,3,1.064895833,4,19.5,1.489093221,9,False,1302986317,6,fabric8,
False,1,3,4,1.013162042,270,0,14.75,1,0.308917824,1,23.5,1.809276709,8,True,1302986362,6,fabric8,32.6589
False,1,2,8,2.685164993,217,306,65.875,3,1.527238137,11,29.5,1.174004896,7,False,1302986419,6,fabric8,
False,1,1,1,0.0,1,1,165.0,3,0.007962963,2,34.0,126.5813953,10,False,1302987005,6,fabric8,
False,1,1,1,0.0,9,2,165.0,3,0.011759259,3,35.0,86.03937008,11,False,1302988021,6,fabric8,
True,1,1,1,0.0,6,12,172.0,3,1.729143519,4,36.0,1.578320995,12,False,1303137419,6,fabric8,
True,2,11,18,3.261988955,1419,0,31.44444444,3,0.163735854,11,45.5,0.074405549,2,False,1303148952,6,fabric8,
False,2,9,20,3.927080761,1505,0,28.55,3,2.84e-05,12,64.5,88.21326531,3,True,1303149001,6,fabric8,851.0772
