fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,author_date_unix_timestamp,project_no,repository_name,days_to_first_fix
False,7,254,1877,9.559288155,430845,0,0.0,1,0.0,0,938.0,0.0,1759,False,1275026726,5,nova,
False,1,1,1,0.0,11,0,0.0,1,0.0,0,1877.0,0.0,4,False,1275253924,5,nova,
False,2,8,30,4.014124212,1018,864,205.5333333,1,2.67787037,30,1892.5,1.049728411,5,True,1275258094,5,nova,1.9344
False,1,4,6,1.375411532,362,515,382.8333333,1,1.149143519,12,2.5,1.043634886,5,True,1275357380,5,nova,10.6589
False,1,1,1,0.0,1,1,407.0,1,0.559155093,3,6.0,2.788412577,6,False,1275405691,5,nova,
True,1,1,2,0.918295834,16,8,344.0,1,3.27337963,3,7.5,1.184779102,8,False,1275425230,5,nova,
False,1,1,1,0.0,27,6,158.0,1,4.612962963,1,9.0,1.216780409,0,False,1275425286,5,nova,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1275428163,5,nova,
True,1,1,1,0.0,13,0,96.0,1,13.48172454,1,0.0,0.0,0,True,1276191547,5,nova,878.1622
False,2,2,2,0.708080326,76,12,35.0,2,6.825798611,1,0.5,0.536625751,0,False,1276206224,5,nova,
False,1,1,1,0.0,24,3,117.0,2,0.123576389,2,2.0,9.092160719,1,False,1276216901,5,nova,
False,1,1,1,0.0,4,1,138.0,2,0.063310185,3,3.0,16.7952468,2,False,1276222371,5,nova,
False,1,1,1,0.0,3,0,141.0,2,0.001064815,4,4.0,940.1304348,3,False,1276222463,5,nova,
False,2,3,3,1.036096458,223,6,76.33333333,2,8.523425926,3,2.0,1.060236703,2,True,1276247046,5,nova,0.3814
False,1,1,1,0.0,2,0,109.0,1,0.645208333,2,4.0,2.549886987,3,False,1276247293,5,nova,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1276276120,5,nova,
True,1,1,1,0.0,4,4,566.0,1,10.65893519,3,10.0,1.093818002,9,True,1276278312,5,nova,12.3936
True,1,1,1,0.0,2,6,566.0,1,0.000219907,4,11.0,4548.368421,10,True,1276278331,5,nova,12.3933
False,1,1,1,0.0,3,0,407.0,1,10.10081019,4,12.0,1.099001959,11,True,1276278401,5,nova,53.1563
True,1,1,1,0.0,18,18,222.0,1,14.4880787,1,13.0,1.069022264,12,False,1276278496,5,nova,
True,1,1,1,0.0,13,2,222.0,1,0.013611111,2,14.0,74.46938776,13,True,1276279672,5,nova,12.5116
False,1,1,2,0.888212879,150,128,321.5,1,12.58949074,4,15.5,1.054333464,15,True,1276279785,5,nova,12.3765
True,1,1,1,0.0,11,6,232.0,2,0.381446759,2,17.0,3.62159784,16,True,1276280003,5,nova,49.0362
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1276290374,5,nova,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1276290395,5,nova,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1276290424,5,nova,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1276290427,5,nova,
False,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,False,1276387520,5,nova,
False,1,1,1,0.0,1,1,17.0,2,2.099201389,1,1908.0,1.476371636,6,False,1276387595,5,nova,
False,1,1,2,0.566509507,30,0,233.0,1,13.12700231,4,1909.5,1.057134141,94,False,1276392267,5,nova,
False,1,1,1,0.0,114,55,315.0,1,2.679247685,3,1911.0,1.373239102,95,True,1276623754,5,nova,34.2676
False,2,2,2,0.71221377,333,0,0.0,1,0.0,0,5.5,0.0,0,True,1276999528,5,nova,200.2101
False,1,1,1,0.0,14,14,144.0,2,9.829189815,5,1912.0,1.101737785,21,False,1277071705,5,nova,
False,1,1,1,0.0,4,1,211.0,2,0.0,8,10.0,0.0,6,False,1277071757,5,nova,
False,1,1,1,0.0,1,1,34.0,2,0.0,3,1913.0,0.0,7,False,1277071757,5,nova,
False,1,1,2,0.566509507,30,0,277.5,1,6.52484375,7,1914.5,1.134743019,97,False,1277071757,5,nova,
False,2,2,2,0.712636835,75,12,80.5,2,3.959571759,8,7.5,1.126281081,4,False,1277071757,5,nova,
False,1,1,1,0.0,24,3,190.0,2,0.0,7,9.0,0.0,5,False,1277071757,5,nova,
False,1,1,1,0.0,3,0,214.0,2,0.0,9,11.0,0.0,7,False,1277071757,5,nova,
False,1,1,1,0.0,11,11,217.0,2,0.000474537,10,1916.0,2108.317073,22,False,1277071798,5,nova,
