fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,author_date_unix_timestamp,project_no,repository_name,days_to_first_fix
False,2,2,6,2.104222504,288,0,0.0,1,0.0,0,2.5,0.0,1,False,1254244893,8,npm,
False,1,1,1,0.0,0,2,5.0,1,0.193784722,1,6.0,6.160365526,4,False,1254261636,8,npm,
False,1,1,1,0.0,94,19,77.0,1,0.194131944,1,7.0,6.151135754,5,True,1254261666,8,npm,0.0019
True,1,1,1,0.0,0,41,152.0,1,0.00193287,2,8.0,518.3652695,6,False,1254261833,8,npm,
False,1,1,1,0.0,1,1,3.0,1,0.196712963,1,9.0,6.08354907,7,False,1254261889,8,npm,
False,1,1,1,0.0,4,14,111.0,1,0.074861111,3,10.0,14.3580705,8,False,1254268301,8,npm,
False,1,1,1,0.0,28,3,101.0,1,0.000208333,4,11.0,4801.0,9,True,1254268319,8,npm,0.7625
True,2,2,2,0.40217919,20,5,111.0,1,0.898090278,6,12.5,1.93408625,2,False,1254334201,8,npm,
False,1,1,1,0.0,102,20,141.0,1,2.279988426,6,14.0,1.438598718,11,False,1254531192,8,npm,
False,2,2,2,0.999142104,15,14,134.5,1,1.66203125,8,15.5,97.15041835,3,False,1254531642,8,npm,
False,1,1,1,0.0,35,17,218.0,1,0.722060185,8,17.0,2.384926105,13,False,1254594028,8,npm,
False,1,1,1,0.0,38,0,0.0,1,0.0,0,18.0,0.0,4,False,1254594078,8,npm,
False,1,1,1,0.0,62,18,38.0,1,0.102685185,1,19.0,10.73850316,5,False,1254602950,8,npm,
False,1,1,1,0.0,28,0,0.0,1,0.0,0,20.0,0.0,6,True,1254687744,8,npm,0.007
False,1,1,1,0.0,3,1,96.0,1,4.094872685,2,21.0,1.244207837,7,False,1254687998,8,npm,
False,1,1,1,0.0,2,19,82.0,1,0.987141204,2,22.0,2.013026299,8,False,1254688239,8,npm,
False,1,1,1,0.0,35,31,236.0,1,1.09099537,9,23.0,1.916594174,14,False,1254688290,8,npm,
False,1,1,1,0.0,21,9,52.0,1,1.813425926,2,24.0,1.55144243,9,False,1254688322,8,npm,
True,1,1,1,0.0,3,2,28.0,1,0.006979167,1,25.0,144.2835821,10,False,1254688347,8,npm,
False,1,1,1,0.0,3,2,29.0,1,0.001527778,2,26.0,655.5454545,11,False,1254688479,8,npm,
False,1,1,1,0.0,57,6,240.0,1,0.090428241,10,27.0,12.05849226,15,False,1254696103,8,npm,
False,1,1,1,0.0,12,3,291.0,1,0.016469907,11,28.0,61.7167955,16,False,1254697526,8,npm,
False,2,2,3,1.370950594,12,3,1.0,1,1.689652778,2,30.0,0.399093064,17,False,1254699847,8,npm,
False,2,2,2,1.0,3,3,1.5,1,0.000428241,4,32.5,1752.351351,18,False,1254699884,8,npm,
False,2,2,4,2.0,4,4,131.75,1,0.912890625,21,35.5,1.602083646,14,False,1254769395,8,npm,
False,1,1,1,0.0,3,3,300.0,1,0.003136574,13,38.0,319.8191882,20,False,1254769666,8,npm,
False,2,2,5,0.780213783,42,57,105.2,1,2.989537037,25,41.0,1.099363428,16,False,1254821293,8,npm,
False,1,1,1,0.0,1,1,3.0,1,0.002025463,3,44.0,494.7142857,24,False,1254821468,8,npm,
False,1,1,1,0.0,4,1,288.0,1,1.458125,15,45.0,1.685812259,25,False,1254947275,8,npm,
False,2,2,2,0.994442325,40,17,160.5,1,97.89137731,19,46.5,1.007740911,17,False,1263275692,8,npm,
False,3,3,4,0.782180716,0,106,26.5,1,98.63425926,14,49.5,1.005251531,18,False,1263282623,8,npm,
False,1,1,1,0.0,23,50,64.0,1,97.93327546,2,52.0,1.010211034,29,False,1263282728,8,npm,
False,2,2,6,2.50871226,160,160,30.5,1,32.75924961,13,55.5,0.50338766,21,False,1263282925,8,npm,
False,1,1,2,0.650022422,24,24,65.0,1,0.000439815,2,59.5,1706.263158,4,True,1263282963,8,npm,0.0876
False,1,1,1,0.0,0,291,291.0,1,0.084328704,17,61.0,12.8583585,30,False,1263282978,8,npm,
False,2,3,9,2.713735564,175,161,21.88888889,1,0.012606739,26,66.0,17.65956182,32,False,1263284872,8,npm,
False,1,1,1,0.0,26,0,0.0,1,0.0,0,71.0,0.0,12,False,1263290449,8,npm,
False,1,1,1,0.0,34,9,30.0,1,0.064907407,1,72.0,16.40656205,13,False,1263290480,8,npm,
True,1,1,1,0.0,1,1,65.0,1,0.065486111,1,73.0,16.27041357,14,False,1263290530,8,npm,
False,1,1,1,0.0,1,0,0.0,1,0.0,0,74.0,0.0,33,False,1263290612,8,npm,
False,1,1,1,0.0,151,2,12.0,1,0.1053125,1,75.0,10.49554896,15,False,1263293971,8,npm,
False,1,1,1,0.0,3,2,26.0,1,0.0409375,1,76.0,25.42748092,16,False,1263293986,8,npm,
False,1,1,1,0.0,1,1,1.0,1,0.10568287,19,77.0,10.46227138,34,False,1263294003,8,npm,
False,1,1,1,0.0,0,1,65.0,1,0.105868056,1,78.0,10.44571991,17,False,1263294019,8,npm,
False,1,1,1,0.0,6,4,55.0,1,0.041215278,2,79.0,25.26284751,18,False,1263294041,8,npm,
False,1,1,1,0.0,2,2,65.0,1,0.040868056,2,80.0,25.46898895,19,False,1263294061,8,npm,
False,1,1,1,0.0,11,0,0.0,1,0.0,0,81.0,0.0,35,False,1263294072,8,npm,
False,1,1,1,0.0,2,1,27.0,1,0.010289352,2,82.0,98.18785152,20,False,1263294875,8,npm,
False,1,1,1,0.0,18,12,161.0,1,0.010983796,2,83.0,92.04320337,21,False,1263294920,8,npm,
False,2,2,3,1.16608706,21,13,59.66666667,1,0.013684414,24,85.0,43.23718149,37,True,1263295514,8,npm,21.2625
